City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,el alto,-4.2714,-81.2147,78.46,65.0,9.0,15.21,PE,1717089905
317,callao,-12.0667,-77.15,73.42,88.0,100.0,5.75,PE,1717089388
318,pontian kechil,1.4866,103.3896,79.11,86.0,68.0,5.57,MY,1717089503
319,solleftea,63.1667,17.2667,69.66,40.0,13.0,6.96,SE,1717089907
320,kadnikov,59.5022,40.338,61.83,95.0,79.0,1.1,RU,1717089907
321,byron bay,-28.65,153.6167,61.72,85.0,74.0,8.59,AU,1717089613
322,mutuali,-14.8706,37.0044,67.19,47.0,0.0,2.44,MZ,1717089908
323,ishigaki,24.3448,124.1572,80.73,100.0,100.0,9.22,JP,1717089909
324,colonia,50.9333,6.95,64.94,65.0,0.0,11.5,DE,1717089764
325,holualoa,19.6228,-155.9522,75.04,91.0,0.0,5.75,US,1717089369
326,north las vegas,36.1989,-115.1175,92.66,15.0,0.0,9.22,US,1717089793
327,mar del plata,-38.0023,-57.5575,59.02,71.0,0.0,5.01,AR,1717089782
328,general mosconi,-23.1851,-62.303,71.83,31.0,0.0,6.76,AR,1717089913
329,nouadhibou,20.931,-17.0347,64.04,86.0,1.0,23.31,MR,1717089914
330,koluszki,51.7387,19.8199,76.62,73.0,68.0,11.36,PL,1717089914
331,port blair,11.6667,92.75,82.44,89.0,40.0,0.0,IN,1717089496
332,guangyuan,32.442,105.823,64.51,87.0,35.0,2.91,CN,1717089718
333,sao gabriel da cachoeira,-0.1303,-67.0892,76.8,83.0,100.0,5.75,BR,1717089916
